"BE","MRDCL Tables"
"JH"," "
"JF"," "
"TB","1"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RW","P2M%Products and services are easy to avail of and use%GCash%D%Total Lifestage%NCL%Total Usership",19,19,0,19
"PV",,95.9696%,95.9696%,0.0000%,95.9696%
"MK",," "," "," "," "
"BL"
"RW","P2M%Does not take advantage of my personal and transaction data%GCash%D%Total Lifestage%NCL%Total Usership",17,17,0,17
"PV",,87.9088%,87.9088%,0.0000%,87.9088%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that helps customers to develop their financial skills and understanding%GCash%D%Total Lifestage%NCL%Total Usership",17,17,0,17
"PV",,86.1498%,86.1498%,0.0000%,86.1498%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand I can depend on for emergency or additional funds%GCash%D%Total Lifestage%NCL%Total Usership",18,18,0,18
"PV",,92.4516%,92.4516%,0.0000%,92.4516%
"MK",," "," "," "," "
"BL"
"RW","P2M%Helps me get ready for a better tomorrow%GCash%D%Total Lifestage%NCL%Total Usership",17,17,0,17
"PV",,85.6374%,85.6374%,0.0000%,85.6374%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me hope for the future%GCash%D%Total Lifestage%NCL%Total Usership",16,16,0,16
"PV",,81.6070%,81.6070%,0.0000%,81.6070%
"MK",," "," "," "," "
"TE"
"TB","332"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",15,15,0,15
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",40,40,0,40
"BL"
"RW","P2M%Creates new and continuously innovate its products and services%GCash%D%Total Lifestage%NCL%User",13,13,0,13
"PV",,82.3696%,82.3696%,0.0000%,82.3696%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for everyone (young or old, rich or poor)%GCash%D%Total Lifestage%NCL%User",12,12,0,12
"PV",,78.8260%,78.8260%,0.0000%,78.8260%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is safe and secure%GCash%D%Total Lifestage%NCL%User",14,14,0,14
"PV",,92.6304%,92.6304%,0.0000%,92.6304%
"MK",," "," "," "," "
"BL"
"RW","P2M%Provides relevant digital products and services%GCash%D%Total Lifestage%NCL%User",15,15,0,15
"PV",,95.5218%,95.5218%,0.0000%,95.5218%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used whenever needed (any time and any day)%GCash%D%Total Lifestage%NCL%User",14,14,0,14
"PV",,93.2826%,93.2826%,0.0000%,93.2826%
"MK",," "," "," "," "
"BL"
"RW","P2M%Makes everyday life easier%GCash%D%Total Lifestage%NCL%User",14,14,0,14
"PV",,89.7391%,89.7391%,0.0000%,89.7391%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for me%GCash%D%Total Lifestage%NCL%User",15,15,0,15
"PV",,95.5218%,95.5218%,0.0000%,95.5218%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand who genuinely cares about its customers%GCash%D%Total Lifestage%NCL%User",13,13,0,13
"PV",,83.0218%,83.0218%,0.0000%,83.0218%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has malasakit/concern for the community%GCash%D%Total Lifestage%NCL%User",13,13,0,13
"PV",,85.2609%,85.2609%,0.0000%,85.2609%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has reliable customer service when needed%GCash%D%Total Lifestage%NCL%User",12,12,0,12
"PV",,80.1304%,80.1304%,0.0000%,80.1304%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me perks, rewards, and privileges that are relevant to me%GCash%D%Total Lifestage%NCL%User",11,11,0,11
"PV",,72.1087%,72.1087%,0.0000%,72.1087%
"MK",," "," "," "," "
"BL"
"RW","P2M%Opens up opportunities to progress more in life%GCash%D%Total Lifestage%NCL%User",13,13,0,13
"PV",,82.3696%,82.3696%,0.0000%,82.3696%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used anywhere (widely accepted, online and in-store)%GCash%D%Total Lifestage%NCL%User",14,14,0,14
"PV",,93.2826%,93.2826%,0.0000%,93.2826%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has low to no transaction fees%GCash%D%Total Lifestage%NCL%User",13,13,0,13
"PV",,85.9131%,85.9131%,0.0000%,85.9131%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has features that can help me assure my future by growing my finances%GCash%D%Total Lifestage%NCL%User",13,13,0,13
"PV",,82.3696%,82.3696%,0.0000%,82.3696%
"MK",," "," "," "," "
"BL"
"RW","P2M%Complete and all-in one financial app/solution/website%GCash%D%Total Lifestage%NCL%User",13,13,0,13
"PV",,83.0218%,83.0218%,0.0000%,83.0218%
"MK",," "," "," "," "
"BL"
"RW","P2M%Widely and highly recommended e-wallet brand%GCash%D%Total Lifestage%NCL%User",14,14,0,14
"PV",,92.6304%,92.6304%,0.0000%,92.6304%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has advertisements I can relate to%GCash%D%Total Lifestage%NCL%User",12,12,0,12
"PV",,77.2391%,77.2391%,0.0000%,77.2391%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is trustworthy%GCash%D%Total Lifestage%NCL%User",13,13,0,13
"PV",,83.9565%,83.9565%,0.0000%,83.9565%
"MK",," "," "," "," "
"BL"
"RW","P2M%Products and services are easy to avail of and use%GCash%D%Total Lifestage%NCL%User",15,15,0,15
"PV",,94.8696%,94.8696%,0.0000%,94.8696%
"MK",," "," "," "," "
"BL"
"RW","P2M%Does not take advantage of my personal and transaction data%GCash%D%Total Lifestage%NCL%User",13,13,0,13
"PV",,84.6087%,84.6087%,0.0000%,84.6087%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that helps customers to develop their financial skills and understanding%GCash%D%Total Lifestage%NCL%User",13,13,0,13
"PV",,82.3696%,82.3696%,0.0000%,82.3696%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand I can depend on for emergency or additional funds%GCash%D%Total Lifestage%NCL%User",14,14,0,14
"PV",,90.3913%,90.3913%,0.0000%,90.3913%
"MK",," "," "," "," "
"BL"
"RW","P2M%Helps me get ready for a better tomorrow%GCash%D%Total Lifestage%NCL%User",13,13,0,13
"PV",,81.7174%,81.7174%,0.0000%,81.7174%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me hope for the future%GCash%D%Total Lifestage%NCL%User",12,12,0,12
"PV",,76.5869%,76.5869%,0.0000%,76.5869%
"MK",," "," "," "," "
"TE"
"TB","333"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",3,3,0,3
"BL"
"RW","P2M%Creates new and continuously innovate its products and services%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for everyone (young or old, rich or poor)%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is safe and secure%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Provides relevant digital products and services%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used whenever needed (any time and any day)%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Makes everyday life easier%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for me%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand who genuinely cares about its customers%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has malasakit/concern for the community%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has reliable customer service when needed%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me perks, rewards, and privileges that are relevant to me%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Opens up opportunities to progress more in life%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used anywhere (widely accepted, online and in-store)%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has low to no transaction fees%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has features that can help me assure my future by growing my finances%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Complete and all-in one financial app/solution/website%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Widely and highly recommended e-wallet brand%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has advertisements I can relate to%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is trustworthy%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Products and services are easy to avail of and use%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Does not take advantage of my personal and transaction data%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that helps customers to develop their financial skills and understanding%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand I can depend on for emergency or additional funds%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Helps me get ready for a better tomorrow%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me hope for the future%GCash%D%Total Lifestage%NCL%Non-user",4,4,0,4
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"TE"
"TB","334"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",48,48,0,48
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",38,38,0,38
"BL"
"RW","P2M%Creates new and continuously innovate its products and services%GCash%D%Total Lifestage%SL%Total Usership",46,46,0,46
"PV",,95.0856%,95.0856%,0.0000%,95.0856%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for everyone (young or old, rich or poor)%GCash%D%Total Lifestage%SL%Total Usership",46,46,0,46
"PV",,95.0856%,95.0856%,0.0000%,95.0856%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is safe and secure%GCash%D%Total Lifestage%SL%Total Usership",37,37,0,37
"PV",,76.9915%,76.9915%,0.0000%,76.9915%
"MK",," "," "," "," "
"BL"
"RW","P2M%Provides relevant digital products and services%GCash%D%Total Lifestage%SL%Total Usership",39,39,0,39
"PV",,80.8542%,80.8542%,0.0000%,80.8542%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used whenever needed (any time and any day)%GCash%D%Total Lifestage%SL%Total Usership",48,48,0,48
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Makes everyday life easier%GCash%D%Total Lifestage%SL%Total Usership",36,36,0,36
"PV",,74.8466%,74.8466%,0.0000%,74.8466%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for me%GCash%D%Total Lifestage%SL%Total Usership",42,42,0,42
"PV",,87.5145%,87.5145%,0.0000%,87.5145%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand who genuinely cares about its customers%GCash%D%Total Lifestage%SL%Total Usership",38,38,0,38
"PV",,79.6481%,79.6481%,0.0000%,79.6481%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has malasakit/concern for the community%GCash%D%Total Lifestage%SL%Total Usership",39,39,0,39
"PV",,81.9059%,81.9059%,0.0000%,81.9059%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has reliable customer service when needed%GCash%D%Total Lifestage%SL%Total Usership",40,40,0,40
"PV",,82.7038%,82.7038%,0.0000%,82.7038%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me perks, rewards, and privileges that are relevant to me%GCash%D%Total Lifestage%SL%Total Usership",40,40,0,40
"PV",,82.3048%,82.3048%,0.0000%,82.3048%
"MK",," "," "," "," "
"BL"
"RW","P2M%Opens up opportunities to progress more in life%GCash%D%Total Lifestage%SL%Total Usership",40,40,0,40
"PV",,84.1636%,84.1636%,0.0000%,84.1636%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used anywhere (widely accepted, online and in-store)%GCash%D%Total Lifestage%SL%Total Usership",43,43,0,43
"PV",,89.0780%,89.0780%,0.0000%,89.0780%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has low to no transaction fees%GCash%D%Total Lifestage%SL%Total Usership",42,42,0,42
"PV",,87.2192%,87.2192%,0.0000%,87.2192%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has features that can help me assure my future by growing my finances%GCash%D%Total Lifestage%SL%Total Usership",42,42,0,42
"PV",,87.6182%,87.6182%,0.0000%,87.6182%
"MK",," "," "," "," "
"BL"
"RW","P2M%Complete and all-in one financial app/solution/website%GCash%D%Total Lifestage%SL%Total Usership",41,41,0,41
"PV",,84.5626%,84.5626%,0.0000%,84.5626%
"MK",," "," "," "," "
"BL"
"RW","P2M%Widely and highly recommended e-wallet brand%GCash%D%Total Lifestage%SL%Total Usership",39,39,0,39
"PV",,81.9059%,81.9059%,0.0000%,81.9059%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has advertisements I can relate to%GCash%D%Total Lifestage%SL%Total Usership",38,38,0,38
"PV",,79.7610%,79.7610%,0.0000%,79.7610%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is trustworthy%GCash%D%Total Lifestage%SL%Total Usership",41,41,0,41
"PV",,84.5626%,84.5626%,0.0000%,84.5626%
"MK",," "," "," "," "
"BL"
"RW","P2M%Products and services are easy to avail of and use%GCash%D%Total Lifestage%SL%Total Usership",45,45,0,45
"PV",,94.6866%,94.6866%,0.0000%,94.6866%
"MK",," "," "," "," "
"BL"
"RW","P2M%Does not take advantage of my personal and transaction data%GCash%D%Total Lifestage%SL%Total Usership",43,43,0,43
"PV",,89.8759%,89.8759%,0.0000%,89.8759%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that helps customers to develop their financial skills and understanding%GCash%D%Total Lifestage%SL%Total Usership",42,42,0,42
"PV",,86.8203%,86.8203%,0.0000%,86.8203%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand I can depend on for emergency or additional funds%GCash%D%Total Lifestage%SL%Total Usership",43,43,0,43
"PV",,90.5701%,90.5701%,0.0000%,90.5701%
"MK",," "," "," "," "
"BL"
"RW","P2M%Helps me get ready for a better tomorrow%GCash%D%Total Lifestage%SL%Total Usership",38,38,0,38
"PV",,80.0471%,80.0471%,0.0000%,80.0471%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me hope for the future%GCash%D%Total Lifestage%SL%Total Usership",35,35,0,35
"PV",,72.9878%,72.9878%,0.0000%,72.9878%
"MK",," "," "," "," "
"TE"
"TB","335"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",39,39,0,39
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",33,33,0,33
"BL"
"RW","P2M%Creates new and continuously innovate its products and services%GCash%D%Total Lifestage%SL%User",36,36,0,36
"PV",,93.9244%,93.9244%,0.0000%,93.9244%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for everyone (young or old, rich or poor)%GCash%D%Total Lifestage%SL%User",36,36,0,36
"PV",,93.9244%,93.9244%,0.0000%,93.9244%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is safe and secure%GCash%D%Total Lifestage%SL%User",29,29,0,29
"PV",,75.2046%,75.2046%,0.0000%,75.2046%
"MK",," "," "," "," "
"BL"
"RW","P2M%Provides relevant digital products and services%GCash%D%Total Lifestage%SL%User",32,32,0,32
"PV",,81.7733%,81.7733%,0.0000%,81.7733%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used whenever needed (any time and any day)%GCash%D%Total Lifestage%SL%User",39,39,0,39
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Makes everyday life easier%GCash%D%Total Lifestage%SL%User",30,30,0,30
"PV",,77.9958%,77.9958%,0.0000%,77.9958%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for me%GCash%D%Total Lifestage%SL%User",33,33,0,33
"PV",,84.5645%,84.5645%,0.0000%,84.5645%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand who genuinely cares about its customers%GCash%D%Total Lifestage%SL%User",30,30,0,30
"PV",,78.4890%,78.4890%,0.0000%,78.4890%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has malasakit/concern for the community%GCash%D%Total Lifestage%SL%User",32,32,0,32
"PV",,81.2801%,81.2801%,0.0000%,81.2801%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has reliable customer service when needed%GCash%D%Total Lifestage%SL%User",32,32,0,32
"PV",,82.2666%,82.2666%,0.0000%,82.2666%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me perks, rewards, and privileges that are relevant to me%GCash%D%Total Lifestage%SL%User",32,32,0,32
"PV",,81.7733%,81.7733%,0.0000%,81.7733%
"MK",," "," "," "," "
"BL"
"RW","P2M%Opens up opportunities to progress more in life%GCash%D%Total Lifestage%SL%User",33,33,0,33
"PV",,84.0713%,84.0713%,0.0000%,84.0713%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used anywhere (widely accepted, online and in-store)%GCash%D%Total Lifestage%SL%User",35,35,0,35
"PV",,90.1469%,90.1469%,0.0000%,90.1469%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has low to no transaction fees%GCash%D%Total Lifestage%SL%User",34,34,0,34
"PV",,87.8489%,87.8489%,0.0000%,87.8489%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has features that can help me assure my future by growing my finances%GCash%D%Total Lifestage%SL%User",34,34,0,34
"PV",,88.3421%,88.3421%,0.0000%,88.3421%
"MK",," "," "," "," "
"BL"
"RW","P2M%Complete and all-in one financial app/solution/website%GCash%D%Total Lifestage%SL%User",33,33,0,33
"PV",,84.5645%,84.5645%,0.0000%,84.5645%
"MK",," "," "," "," "
"BL"
"RW","P2M%Widely and highly recommended e-wallet brand%GCash%D%Total Lifestage%SL%User",32,32,0,32
"PV",,81.2801%,81.2801%,0.0000%,81.2801%
"MK",," "," "," "," "
"BL"
"RW","P2M%Has advertisements I can relate to%GCash%D%Total Lifestage%SL%User",33,33,0,33
"PV",,84.0713%,84.0713%,0.0000%,84.0713%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is trustworthy%GCash%D%Total Lifestage%SL%User",33,33,0,33
"PV",,84.5645%,84.5645%,0.0000%,84.5645%
"MK",," "," "," "," "
"BL"
"RW","P2M%Products and services are easy to avail of and use%GCash%D%Total Lifestage%SL%User",36,36,0,36
"PV",,93.4312%,93.4312%,0.0000%,93.4312%
"MK",," "," "," "," "
"BL"
"RW","P2M%Does not take advantage of my personal and transaction data%GCash%D%Total Lifestage%SL%User",35,35,0,35
"PV",,91.1333%,91.1333%,0.0000%,91.1333%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that helps customers to develop their financial skills and understanding%GCash%D%Total Lifestage%SL%User",34,34,0,34
"PV",,87.3557%,87.3557%,0.0000%,87.3557%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand I can depend on for emergency or additional funds%GCash%D%Total Lifestage%SL%User",34,34,0,34
"PV",,88.3421%,88.3421%,0.0000%,88.3421%
"MK",," "," "," "," "
"BL"
"RW","P2M%Helps me get ready for a better tomorrow%GCash%D%Total Lifestage%SL%User",31,31,0,31
"PV",,78.9822%,78.9822%,0.0000%,78.9822%
"MK",," "," "," "," "
"BL"
"RW","P2M%Gives me hope for the future%GCash%D%Total Lifestage%SL%User",29,29,0,29
"PV",,75.6978%,75.6978%,0.0000%,75.6978%
"MK",," "," "," "," "
"TE"
"TB","336"
"IT","Wall-E"
"HT","HEADER DASHBOARD"
"CL",,"TOTAL","Q1 2024","JAN 2024","FEB 2024"
"RT","TOTAL",9,9,0,9
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"RU","(UNWEIGHTED BASE)",5,5,0,5
"BL"
"RW","P2M%Creates new and continuously innovate its products and services%GCash%D%Total Lifestage%SL%Non-user",9,9,0,9
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for everyone (young or old, rich or poor)%GCash%D%Total Lifestage%SL%Non-user",9,9,0,9
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand that is safe and secure%GCash%D%Total Lifestage%SL%Non-user",8,8,0,8
"PV",,84.5543%,84.5543%,0.0000%,84.5543%
"MK",," "," "," "," "
"BL"
"RW","P2M%Provides relevant digital products and services%GCash%D%Total Lifestage%SL%Non-user",7,7,0,7
"PV",,76.9638%,76.9638%,0.0000%,76.9638%
"MK",," "," "," "," "
"BL"
"RW","P2M%Can be used whenever needed (any time and any day)%GCash%D%Total Lifestage%SL%Non-user",9,9,0,9
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Makes everyday life easier%GCash%D%Total Lifestage%SL%Non-user",6,6,0,6
"PV",,61.5181%,61.5181%,0.0000%,61.5181%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand for me%GCash%D%Total Lifestage%SL%Non-user",9,9,0,9
"PV",,100.0000%,100.0000%,0.0000%,100.0000%
"MK",," "," "," "," "
"BL"
"RW","P2M%Brand who genuinely cares about its customers%GCash%D%Total Lifestage%SL%Non-user",8,8,0,8
